Tree,NYC,Bronx,Brooklyn,Staten,Manhattan,Queens
London planetree,89529,6533,37107,6987,4029,32406
Honeylocust,52191,7568,12474,2701,11529,17136
Callery pear,63593,4470,9479,17182,7748,17428
Pin oak,43895,5122,9791,4854,2670,19475
Norway maple,74721,7293,15655,5539,556,43756
