Tree,NYC,Bronx,Brooklyn,Staten,Manhattan,Queens
London planetree,88040,5466,34604,10212,5610,32148
Honeylocust,33727,4339,7073,2587,8826,10902
Callery pear,31293,2237,3984,9842,6239,8991
Pin oak,36553,3414,7188,6352,2537,17062
Norway maple,109321,6126,20561,13284,612,68738
