lon,lat
-73.84421522,40.72309177
-73.81867946,40.79411067
-73.93660770000001,40.71758074
-73.93445616,40.71353749
-73.97597938,40.66677776
-73.98533807,40.77020969
-73.98729652,40.76272385
-74.07625483,40.59657931
-73.96974394,40.58635725
-73.91117077,40.78242823
-73.91201957,40.78173511
-74.16267038,40.55710259
-73.96821054,40.69473314
-73.92113023,40.6643174
-73.9915968,40.59378755
-73.96452447,40.64878769
-73.86529992,40.73764622
-73.97258754,40.69149917
-73.98588944,40.66123875
-73.96045571,40.77217148
-73.82499155,40.70653352
-73.98982976,40.72180744
-73.98670282,40.66882647
-73.89338226,40.84794708
-73.98162669999999,40.77039613
-73.98121826,40.77022715
-74.08667827,40.5881073
-73.98526929,40.77018061
-74.13906215,40.56882517
-74.11474624,40.57807406
-73.97484011,40.78258674
-73.97453014,40.61366258
-73.82768034,40.70404652
-73.91127902,40.78233983
-73.96637972,40.69528068
-73.97238977,40.782181099999995
-73.97671635,40.61293798
-73.82720922,40.71490997
-73.94863403,40.61003477
-73.94861133,40.60991608
-73.80826026,40.74068684
-74.1561806,40.53211313
-73.89097861,40.85677447
-73.90356058,40.85091786
-73.97721169,40.78993607
-74.10653494,40.56103243
-74.19255287,40.53936939
-73.98253015,40.74503399
-73.99985935,40.73599985
-73.89540541,40.76686765
-74.00410729,40.68194327
-73.9620798,40.80230109
-73.88730078,40.75088939
-73.81946649,40.793138
-73.88088627,40.87343706
-73.99157275,40.71680539
-73.82819499,40.7049445
-73.95894426,40.77222448
-73.90688618,40.84810623
-73.97558535,40.7816172
-73.97682018,40.61288064
-74.03492843,40.62140476
-73.85444599,40.71316969
-73.96142265,40.6922784
-73.85501988,40.71247961
-73.98073049,40.668231299999995
-73.85213797,40.7126411
-73.9772179,40.61324054
-73.96044298,40.62480756
-73.89249205,40.76679523
-74.14007849,40.56872513
-73.96632142,40.58802014
-73.8544597,40.71338389
-73.96636478,40.69520579
-73.97276286,40.78233867
-73.97308773,40.7825057
-74.13912874,40.56873093
-73.85210323,40.71269661
-73.99153287,40.71688341
-73.94862442,40.60998452
-73.91201937,40.78081459
-73.91106905,40.78159709
-73.79811408,40.76762905
-73.96331506,40.80881155
-73.92576589,40.64649652
-74.13481836,40.56736217
-73.97469909,40.78283422
-73.97678695,40.61298057
-73.99162805,40.71669718
-73.85066148,40.71498666
-73.91084617,40.78178061
-73.79787009999998,40.76760837
-73.96340334,40.80874458
-73.96412322,40.81114538
-73.92220308,40.66522204
-73.95649259,40.62700131
-74.00504966,40.73998079
-73.99119881,40.72180184
-73.82961562,40.70649325
-74.15632856,40.53195766
-73.85600425,40.72877985
-73.91633969,40.77399973
-73.97646441,40.66701232
-73.76764200000001,40.60866168
-73.90933909,40.69775112
-73.98065645,40.74829709
-73.97423449,40.79238702
-73.96764605,40.68767857
-73.77234286,40.59626688
-73.77245394,40.59683648
-73.89340631,40.85791814
-73.86526993,40.739990999999996
-73.75365462,40.66362636
-73.86525671,40.72186915
-73.73473543,40.703218
-73.96350468,40.67591256
-73.85049293,40.715253000000004
-73.89080443,40.77079674
-73.82895529,40.75195241
-73.82549632,40.71219318
-73.82794408,40.71175384
-73.96312072,40.80907709
-74.16264761,40.5602591
-73.99518627,40.61799206
-74.00147075,40.68162051
-73.95571955,40.65015942
-73.97323052,40.67524604
-73.84936673,40.90339978
-73.99026972,40.61891585
-73.97980287,40.77688357
-73.95532709999999,40.77277225
-73.98475372,40.76996266
-73.86702522,40.69062557
-73.81814429,40.58401171
-73.98089638,40.66831143
-73.9720122,40.67498646
-73.98261517,40.73570804
-73.83049495,40.71266167
-73.9013742,40.85392218
-73.97521359,40.67179945
-73.78793925,40.73275126
-73.83485946,40.75395021
-73.98369364,40.77033272
-73.99547033,40.68584614
-73.99536155,40.68581011
-73.95993924,40.76955939
-73.89434096,40.76810089999999
-73.93644715,40.60430523
-73.98079837,40.66826409
-73.97503084,40.67201868
-73.85446422,40.71171868
-73.96121439,40.76332189
-73.98564087,40.78061205
-73.85018599,40.57619607
-73.88713449,40.74996589
-73.94980363,40.72549844
-73.86658672,40.68844787
-73.97626031,40.68591967
-73.95177312,40.72856769
-73.82714606,40.76980427
-73.92810436,40.7631618
-73.98485279,40.77000454
-73.94378432,40.57887248
-73.94879371,40.72262725
-73.97620526,40.67099868
-73.9241548,40.63056031
-73.95955458,40.76436461
-73.97857966,40.74780138
-73.96036845,40.624421399999996
-73.88745706,40.85705393
-73.96487682,40.60961592
-74.16253586,40.59837239
-73.96835285,40.69543462
-73.96832203,40.69528272
-73.9733763,40.67530269
-73.96064456,40.76307992
-73.96012717,40.76963905
-73.97628864,40.68606021
-73.9833793,40.78017187
-73.96045231,40.76299829
-73.96077693,40.76313613
-73.97505728,40.67490334
-73.96003888,40.76960162
-73.98285452,40.75757044
-73.99110017,40.72206573
-73.98370686,40.76964206
-74.10593025,40.55918278
-73.82864619,40.58211738
-73.98179161,40.77046435
-73.82538142,40.58306474
-73.96062867,40.69153074
-73.98598251,40.74486653
-73.95901189,40.76916627
-73.95945923,40.76432442
-73.94759301,40.72286388
-73.97268165,40.66972377
-73.97971637,40.75235028
-73.94855771,40.60963578
-73.98054734,40.73815531
-73.98079175,40.77005069
-73.97265212,40.67672539
-73.96469573,40.64872085
-73.93895706,40.71308988
-73.9861635,40.77055862
-73.98577305,40.66116853
-73.91521777,40.70233782
-73.99769319,40.71269558
-73.98364215,40.76961476
-73.99457015,40.6635718
-73.82831042,40.58221487
-73.94574108,40.60955151
-73.97279,40.67586569
-73.89270307,40.70099719
-73.96056701,40.69124695
-73.96897589,40.79880049
-73.91480707,40.70871281
-74.01226648,40.71007644
-73.97068954,40.69577266
-73.97235367,40.67249783
-73.97371851,40.67688868
-73.95251716,40.80278452
-73.94853152,40.60949889
-73.98048352,40.73824263
-73.97213743,40.67561105
-73.97187885,40.67551014
-73.82387099,40.58350299
-73.93663139,40.71763375
-73.88841976,40.75182477
-73.94694312,40.72566319
-73.89377521,40.85153001
-73.90218780000001,40.85811921
-73.92783662,40.74222798
-73.99982555,40.63461036
-73.90281035,40.84983561
-73.75058098,40.69414597
-73.91459447,40.78343726
-73.91206578,40.78183619
-73.93097316,40.58453676
-74.16442172,40.61544133
-73.97055355,40.78755732
-73.84892202,40.7379165
-73.84843343,40.7375311
-73.79585205,40.76509665
-73.91049677,40.77997369
-74.03391951,40.62103615
-73.75219521,40.66243464
-74.11737184,40.60249347
-74.09984423,40.57845116
-73.97711679,40.64218648
-73.86006187,40.71947082
-73.75326962,40.67335166
-73.77954308,40.76629559
-73.85375548,40.734105299999996
-73.78625396,40.72499955
-74.15250829,40.58871258
-73.96444166,40.61242516
-73.8932499,40.75237429
-73.83028809999999,40.71266475
-73.85778669,40.73433314
-73.89284982,40.8560007
-73.84915064,40.71760215
-73.90149295,40.85358319
-73.90142196,40.85378584
-73.98381722,40.739211
-74.00402821,40.68210684
-73.9748566,40.67222771
-73.97469992,40.75019786
-73.97454407,40.75041366
-73.89371113,40.84765784
-73.92817071,40.83230633
-73.90408214,40.70871171
-73.88153803,40.87567747
-73.97883273,40.67491692
-73.73567337,40.76129482
-73.95509839,40.67187546
-73.83966278,40.72128023
-73.89426076,40.75792848
-73.99240025,40.76814466
-73.96500315,40.63956769
-73.85369905,40.85488535
-73.82703698,40.76982331
-73.98317757,40.75689625
-73.90157359999999,40.85334856
-73.971644,40.79952467
-73.96965382,40.79962299
-73.96117932,40.76412273
-73.96795356,40.69346634
-73.96593251,40.69383699
-73.92414493,40.63046564
-73.89088874,40.85637186
-73.98090356,40.77913077
-73.82465289,40.58142172
-73.79794186,40.76761445
-73.96541768,40.69123029
-73.93086590000001,40.76782574
-73.77418742,40.77048653
-73.74810119,40.67524172
-73.7546477,40.73287782
-73.94652237,40.67673979
-73.83329646,40.71449877
-73.95739877,40.80690345
-73.8906477,40.76932328
-73.88695045,40.85070575
-73.82133897,40.70556938
-73.97672526,40.73357762
-73.97646308,40.73346807
-73.88533325,40.85805147
-73.91136021,40.78227353
-73.96619451,40.69452585
-73.84344477,40.65353429
-73.91819074,40.84571911
-73.97022537,40.69468728
-73.97549554,40.7816867
-73.89058092,40.67763435
-73.98509240000001,40.73974645
-74.01235235,40.71011368
-73.89261605,40.8494875
-73.98052056,40.74791179
-73.79683634,40.59061304
-73.79673994,40.590643
-73.94815262,40.72606121
-73.95725929,40.67607533
-73.95581738,40.67640772
-73.99597274,40.71751014
-73.90344945,40.70687246
-73.92842895,40.74040845
-73.74664284,40.59570647
-73.98224174,40.7206881
-73.89295364,40.857482
-73.88962284,40.74912139
-74.18409536,40.55017691
-73.97144407,40.61227657
-74.18913181,40.58868167
-74.18811275,40.58804692
-73.90396581,40.77817309
-74.08802746,40.58451588
-73.82669147,40.74831191
-73.95861206,40.80754134
-73.89970654,40.84272939
-73.90126028,40.85424737
-73.88753349999999,40.85696595
-73.99007878,40.59406603
-73.96071138,40.76310829
-73.8918285,40.70095558
-73.83996684,40.78326889
