lon,lat
-73.98322688,40.78010688
-74.16220431,40.59666002
-73.7701119,40.61095304
-74.12680328,40.57461702
-74.00396884,40.73951749
-73.92975138,40.76422556
-73.88672874,40.8563235
-74.19492804,40.51767689
-73.96480788,40.67580693
-73.99384165,40.61561939
-74.00230396,40.68119452
-73.96039364,40.69118518
-73.83239432,40.71746485
-74.1478363,40.58601394
-74.11370521,40.57785722
-73.88431865,40.85697779
-73.97606606,40.67314417
-73.84150158,40.72073189
-73.95098214,40.70908121
-74.00001512,40.67542309
-74.25216888,40.50635863
-73.93852879,40.71275489
-74.00096721,40.71151599
-73.97219693,40.67448408
-73.99105107,40.71789414
-73.95582985,40.64802329
-73.75668859999999,40.73202704
-73.94247232,40.60502914
-74.11196626,40.57974016
-73.83883546,40.72188795
-73.81346418,40.77201446
-73.85566077,40.73507022
-73.95791168,40.62318491
-73.91117061,40.69811024
-73.80318445,40.78986315
-73.94681989,40.65149086
-73.83968747,40.7228025
-74.16263449,40.5988607
-73.94665515,40.77215622
-73.97304802,40.79423949
-73.95511737,40.64580051
-73.91445743,40.75902959
-73.9609691,40.61540375
-73.94726872,40.77131401
-73.91654437,40.77318117
-73.92601293,40.76644738
-73.96397151,40.68997503
-73.91008953,40.70414509
-73.75717925,40.66424626
-74.1378991,40.56769585
-73.90127478,40.86943806
-73.79322076,40.73116466
-73.99783788,40.685365000000004
-73.77945449,40.72471034
-73.96193383,40.64810282
-73.91541314,40.70230123
-73.88739268,40.85537277
-73.95919495,40.80645957
-73.83762775,40.71980035
-73.97885867,40.7853592
-74.00626875,40.70624547
-73.97551564,40.67030501
-73.96392703,40.70653476
-73.88504285,40.74820692
-73.98121169,40.78136701
-73.96190998,40.69021592
-73.95340924,40.64428793
-73.96452656,40.80240036
-74.11580242,40.56253663
-73.83850804,40.89100311
-74.07918409,40.59436272
-73.78099253,40.76192569
-73.91894923,40.75776626
-73.96268071,40.80973254
-73.96770443,40.68287794
-73.88199139,40.75296233
-73.90498368,40.84670659
-74.19108593,40.58997953
-73.75759971,40.59708774
-73.98906406,40.72171818
-73.92826449,40.76347566
-73.95271691,40.65158131
-73.89250499,40.85915849
-73.99621542,40.68852009
-73.90102022,40.85222476
-74.07640844,40.59516933
-73.95416861,40.82513824
-74.16360856,40.529861499999996
-73.90643847,40.70992724
-73.81667757,40.793692
-73.89375316,40.85263964
-73.92708148,40.64449145
-73.97201263,40.79886091
-73.79355921,40.73057287
-73.96353570000001,40.6323333
-73.8419931,40.9026633
-73.98568465,40.66037987
-73.98518751,40.78180585
-73.87020008,40.7663904
-73.9883804,40.72646883
-73.98747475,40.72608553
-73.9238163,40.75291012
-73.90176925,40.69552639
-74.13310258,40.55523048
-73.97657332,40.7273485
-73.91735245,40.77869982
-73.99222736,40.59318261
-73.96839764,40.75405126
-73.90381812,40.84867693
-73.95341692,40.78186522
-73.90694948,40.7731469
-74.15973216,40.59232294
-73.9181021,40.77269665
-73.91572136,40.75630031
-73.97580358,40.78966109
-73.91017231,40.7037902
-73.85133848,40.71831238
-73.97846358,40.66870975
-73.83212513,40.74789254
-73.74516072,40.66345796
-73.96189291,40.81081616
-73.97469726,40.79068904
-73.83723195,40.58206597
-73.96303342,40.69210114
-73.91123438,40.77072011
-73.97356691,40.78363383
-73.90305082,40.86999557
-73.75504097,40.66333945
-74.19604759,40.54014659
-73.80082524,40.72194745
-73.93794503,40.60308479
-74.20671037,40.53049483
-73.9719735,40.67154566
-73.95710574,40.71238679
-73.9501667,40.71034032
-73.91552203,40.71018825
-73.83692693,40.72066529
-73.75456477,40.74211809
-73.92110898,40.75374017
-73.99243836,40.64441709
-73.96689159,40.692974
-73.98972179,40.59559215
-73.94784733,40.65418622
-73.83301759,40.74666153
-74.16591788,40.52953172
-73.84673983,40.71292633
-73.84304295,40.90081955
-73.80328669,40.59150109
-73.82943311,40.7064415
-74.13321721,40.56765693
-73.90943731,40.77184998
-73.97825745,40.73747093
-73.96080856,40.58948009
-73.86755471,40.74389718
-73.91108902,40.61044466
-74.00023639,40.63421183
-73.92409106,40.76482539999999
-74.13098356,40.55974877
-73.97538427,40.79001135
-73.78083107,40.76121149
-74.13159787,40.55648921
-73.96088497,40.76913411
-73.97258714,40.74327446
-73.89557283,40.75032031
-73.97993942,40.78891439
-73.77979031,40.76111797
-73.88301021,40.75385146
-74.12411707,40.56335515
-73.85028363,40.89539553
-73.90072629999999,40.86645009
-73.96836166,40.8024825
-74.13116565,40.55597173
-74.20071027,40.55153757
-73.96754896,40.64304814
-73.89198571,40.85877351
-73.97625986,40.78860802
-73.91748217,40.77384567
-73.80464649,40.741038
-74.10175699,40.56383354
-73.84409853,40.78294894
-73.90543081,40.85789189
-73.94409990000001,40.707937
-74.13180433,40.55896801
-73.96220884,40.59004307
-74.19195359999999,40.55081538
-73.94912681,40.7245088
-73.97752779999999,40.7888376
-73.96606733,40.60866455
-74.03499982,40.62688149
-74.07564364,40.59371624
-73.85177777,40.71321417
-73.74109267,40.73348016
-73.97687432,40.66625174
-73.88511746,40.71581201
-73.84210758,40.86817151
-74.12703679,40.56397626
-73.82792049,40.58232809
-73.95049716,40.77111476
-73.91570409,40.71016219
-73.97279862,40.58601865
-73.8436287,40.89756204
-73.98371447,40.66713689
-73.85605084,40.73076398
-73.96749229999999,40.62628801
-73.97225401,40.78147435
-73.84196791,40.89573259
-73.9617626,40.63694629
-73.9517611,40.776216999999995
-73.86302351,40.71983053
-73.97669656,40.68740362
-73.95569224,40.71465671
-73.83767122,40.70208013
-74.126834,40.57173478
-73.86688827,40.74389106
