lon,lat
-73.98494997,40.77004563
-73.96760066,40.69331418
-73.97042748,40.61190461
-73.91549691,40.70804012
-73.98504779,40.77008698
-73.97705764,40.7337165
-73.91763219,40.84637583
-73.9120953,40.78075207
-73.9829175,40.77013009
-73.91102561,40.78254676
-73.97325313,40.669039500000004
-74.19216109,40.5393701
-73.97237311,40.78220389
-73.97613836,40.78080395
-73.87162804,40.764165999999996
-73.92575935,40.76206839
-73.98436755,40.73943979
-73.97579406,40.64072805
-73.98958224,40.72173136
-73.78633372,40.76280482
-74.16242863,40.59784149
-73.90162551,40.86998754
-73.9903307,40.72311463
-73.95847826,40.62037645
-73.82405773,40.58344881
-73.80829150000001,40.76843137
-73.81811317,40.58396282
-73.83213744,40.70453556
-73.8926941,40.85737328
-73.96071087,40.69194056
-73.86131975,40.72224466
-73.96078214,40.76395531
-73.96047463,40.76382569
-73.95874411,40.62051591
-74.18440182,40.54960722
-73.99184925,40.59354536
-73.98067313,40.73616366
-73.97909807,40.72569708
-73.75622313,40.59969829
-73.83427783,40.75498147
-73.9995854,40.73588436
-73.94799785,40.69544412
-73.98266889,40.73563404
-73.87914913,40.75988228
-74.11074526,40.57879235
-73.95804293,40.77346065
-73.91004856,40.77823873
-73.88562979,40.756668
-73.99900595,40.68509717
-73.82141586,40.70476184
-73.8981877,40.76908787
-73.9847638,40.7327581
-73.89083846,40.76966936
-73.96333908,40.77339058
-73.94780775,40.72468738
-73.93855748,40.60796812
-73.9283925,40.83201885
-73.86677694,40.68919765
-73.96899418,40.69464742
-74.00098899,40.57291654
-73.91594409,40.84658065
-73.82898972,40.70984798
-73.88576718,40.75742773
-73.73603575,40.76186626
-73.85243355,40.78531604
-73.96032530000001,40.76294435
-74.03289656,40.62004591
-73.83138941,40.70689483
-73.83453669,40.7173467
-73.78472973,40.72503588
-73.96465201,40.64273828
-73.89063016,40.76922814
-73.96983540000001,40.61169703
-73.84186154,40.724458
-74.18192346,40.56261546
-73.95751667,40.62479203
-74.09660154,40.5925856
-73.90672295,40.71197153
-73.88574506,40.75730537
-73.85886921,40.57058558
-73.85421098,40.78531433
-74.00000137,40.73605973
-73.97232222,40.78215257
-73.93225397,40.74071423
-73.98990903,40.60685106
-73.98516023,40.78187241
-73.98529868,40.78144695
-73.99913397,40.67819919
-73.89998097,40.76867257
-73.93810582,40.60920348
-73.82768333,40.70882154
-74.10625422,40.56133956
-73.95883437,40.77194903
-73.8269296,40.71450304
-73.9434339,40.78845662
-74.11632715,40.63778998
-73.7533057,40.73966589
-73.98212149999999,40.76928414
-73.96790234,40.67998294
-73.97544308,40.78175874
-73.88252053,40.84477292
-73.99528544,40.61789645
-73.82231677,40.73433354
-73.93080195,40.76885175
-73.88609494,40.75400348
-73.82810061,40.7047159
-73.93805225,40.69841439
-73.97112263,40.67166133
-73.96779879,40.69154951
-73.89165320000001,40.7476616
-73.94514364,40.70836664
-73.87131699,40.83674575
-73.9801313,40.74414068
-73.95988798,40.76450515
-73.8905684,40.77082155
-73.8535266,40.73647762
-73.99279486,40.63901226
-73.99270449,40.7142111
-73.95638576,40.61882994
-73.83800034,40.72111206
-74.02087625,40.64594589
-73.97242481,40.69067789
-73.99979465,40.73597258
-73.83921235,40.72524305
-73.98425673,40.72076657
-73.91183251,40.78294203
-73.9605278,40.75906279
-73.90845769,40.77298866
-73.95973208,40.57771599
-73.78707533,40.76274413
-73.93607597,40.6039722
-73.88675752,40.74791143
-73.90812504,40.71160813
-73.89186243,40.7487196
-73.83723305,40.72057354
-74.00084858,40.67858979
-73.91558836,40.78306324
-73.93774081,40.60860287
-73.97033005,40.69520932
-73.94709988,40.77154413
-73.83101371,40.71326291
-73.8925393,40.74893566
-73.88719178,40.84822621
-74.17083455,40.55606525
-73.90433193,40.77104858
-73.91804959999999,40.84695805
-73.81082836,40.74233053
-73.89996697,40.76845991
-73.92821756,40.74266861
-73.88806029,40.85763511
-74.00651185,40.61162978
-73.97147932,40.67600958
-73.94413189,40.7167455
-73.77819339,40.76559118
-73.98061081,40.73806847
-73.96171282,40.80544227
-74.10169381,40.56288461
-73.95567768,40.78258338
-73.91536722,40.70234620000001
-73.94235337,40.83972275
-74.19230859,40.53932937
-73.80202539,40.79016345
-73.88689488,40.74867892
-73.95186939,40.57638352
-73.95850167,40.77240528
-74.16092445,40.55794539
-73.88197464,40.68513997
-73.88432416,40.85588458
-73.88299906,40.75328891
-73.94748768,40.72833569
-73.95696855,40.78320861
-73.74334348,40.60014377
-73.93401317,40.71594248
-73.99093953,40.62981259
-73.9557182,40.67106507
-73.78979005,40.73029416
-73.89007791,40.67934103
-73.90578761,40.705005799999995
-73.90040504,40.85260429
-74.10615059,40.57354048
-73.96603332,40.67889329
-73.97964187,40.77681563
-73.91443386,40.75770196
-74.10583438,40.58207814
-73.97071419,40.61340778
-73.79717552,40.59210393
-73.89473273,40.77093253
-73.91684968,40.67324716
-73.96010714,40.76367078
-73.91078493,40.78183103
-73.85563703,40.72888845
-73.82989069,40.70460889
-73.85053988,40.71517881
-73.89145398,40.70088389
-73.96021457,40.62872531
-73.84051802,40.72189446
-73.73641328,40.76259601
-73.92145528,40.75721489
-73.8469286,40.90322179
-73.79714162,40.59252475
-73.73675695,40.76186876
-73.76954079,40.68473924
-73.95176823,40.57584
-73.82247616,40.73395382
-73.9803292,40.74540176
-73.93164954,40.76424221
-73.95998786,40.7719741
-73.94778571,40.69546861
-73.89554246,40.67812058
-73.7349094,40.68331428
-73.83908037,40.72221596
-73.83410929,40.71381476
-73.93311482,40.76735246
-73.95127753,40.70861246
-73.91483148,40.70287093
-73.9703566,40.69534173
-73.97262483,40.66979188
-73.85746593,40.71628269
-73.97208976,40.67487424
-73.94195115,40.672700799999994
-73.96072769,40.64175808
-73.97294165,40.585816200000004
-73.93602511,40.71524926
-73.79053238,40.73219676
-73.99799997,40.7125065
-73.97581728,40.61148799
-73.97374616,40.7837096
-73.83301094,40.71418995
-73.86750731,40.68919755
-73.92415869,40.764919
-73.93865643,40.60483623
-74.07622796,40.596284999999995
-74.00264299,40.62371432
-73.90375275,40.85095651
-73.92409452,40.62998216
-73.94224425,40.78795347
-73.83347174,40.71572094
-73.97255693,40.61153258
-74.16585097,40.53737316
-73.97684459999999,40.74922128
-73.81830905,40.5842705
-74.18755073,40.54204335
-73.90800209,40.71056379
-73.9571761,40.645391100000005
-73.88839417,40.74937069
-73.95635218,40.82209613
-73.8638153,40.69147034
-73.93966182,40.60533942
-73.80329113,40.78987155
-73.88025059,40.68358603
-73.91574617,40.77244032
-73.95689127,40.64163379
-73.97471769,40.79494191
-73.96042285,40.80392477
-73.80294905,40.58927541
-73.96767315,40.69156328
-73.96148825,40.640721899999996
-73.89203882,40.85018998
-73.99574078,40.68488948
-73.89207406,40.67933125
-73.81009925,40.74126332
-73.75405419,40.74039364
-73.91482989,40.77537589
-73.94719642,40.80013815
-73.95863934,40.7097405
-73.97552555,40.78169933
-73.96511119,40.76998064
-73.95987232,40.77192536
-73.98002679,40.735890000000005
-74.11315557,40.55992662
-73.96524013,40.69032799
-74.13858873,40.56964536
-73.88428083,40.858776500000005
-73.91761251,40.77295573
-73.88954452,40.74722169
-73.90576794,40.77080417
-73.86900936,40.83631277
-73.89564941,40.67150806
-73.90986739,40.63204698
-73.95773337,40.71379594
-73.91442336,40.77465946
-73.89321509,40.7677982
-73.88023297,40.75370229
-74.10260301,40.56337908
-73.82843937,40.71020077
-73.98170418,40.76950279
-74.10131916,40.56268492
-73.91621936,40.77424011
-74.03535008,40.62072935
-73.96383937,40.70358111
-73.99501428,40.61815787
-73.86360934,40.72213211
-73.83376679999999,40.65044712
-74.15877854,40.54469558
-73.96635273,40.69182484
-73.99551590000002,40.61857965
-73.83440487,40.755397200000004
-73.90384527,40.77019977
-73.76522233,40.69250213
-74.02068988,40.64583379
-73.99084997,40.62962963
-73.98979545,40.60678219
-73.91085229,40.665392100000005
-73.8512728,40.71819970000001
-73.96551244,40.69171184
-73.82949751,40.70370699
-73.98665854,40.76245536
-74.15037116,40.54922794
-73.76794943,40.60886747
