Borough,CB,Neighbourhood,TreesAmount
Staten Island,503,Charleston-Richmond Valley-Tottenville,6841.0
Bronx,210,Pelham Bay-Country Club-City Island,2454.0
Brooklyn,301,Williamsburg,1478.0
Queens,408,Kew Gardens Hills,4318.0
Manhattan,111,East Harlem South,1672.0
Queens,401,Woodside,2174.0
Staten Island,501,New Brighton-Silver Lake,2676.0
Queens,413,Bellerose,5092.0
Bronx,203,Crotona Park East,1181.0
Brooklyn,315,Brighton Beach,933.0
Brooklyn,307,Sunset Park West,2538.0
Brooklyn,310,Dyker Heights,2695.0
Queens,404,Elmhurst,2780.0
Brooklyn,316,Ocean Hill,1809.0
Brooklyn,301,Bushwick South,3635.0
Brooklyn,309,Crown Heights South,1741.0
Manhattan,109,Hamilton Heights,1915.0
Queens,410,South Ozone Park,5813.0
Bronx,209,Soundview-Castle Hill-Clason Point-Harding Park,2924.0
Bronx,204,West Concourse,1688.0
Bronx,205,Bedford Park-Fordham North,1309.0
Manhattan,109,Manhattanville,705.0
Queens,413,Rosedale,4408.0
Bronx,208,Spuyten Duyvil-Kingsbridge,1525.0
Staten Island,501,Mariner's Harbor-Arlington-Port Ivory-Graniteville,2695.0
Queens,413,Cambria Heights,2725.0
Queens,401,Queensbridge-Ravenswood-Long Island City,1087.0
Brooklyn,307,Windsor Terrace,1856.0
Bronx,212,Williamsbridge-Olinville,2526.0
Queens,407,East Flushing,2185.0
Queens,408,Pomonok-Flushing Heights-Hillcrest,3907.0
Brooklyn,302,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,2403.0
Staten Island,501,Stapleton-Rosebank,2651.0
Bronx,211,Allerton-Pelham Gardens,2997.0
Brooklyn,317,East Flatbush-Farragut,2415.0
Brooklyn,302,Brooklyn Heights-Cobble Hill,1551.0
Queens,412,Jamaica,3126.0
Bronx,209,Parkchester,628.0
Manhattan,112,Washington Heights North,1969.0
Queens,403,North Corona,1760.0
Bronx,203,Morrisania-Melrose,1674.0
